name,latitude,longitude
Coyoacán,19.35730109,-99.13212703
Coyoacán,19.35752002,-99.13191325
Coyoacán,19.35771671,-99.13176297
Coyoacán,19.35826012,-99.13142411
Coyoacán,19.35837569,-99.13136097
Coyoacán,19.35866086,-99.13117791
Coyoacán,19.3586274,-99.13086978
Coyoacán,19.35856858,-99.13032808
Coyoacán,19.35854842,-99.1301424
Coyoacán,19.35851755,-99.12985812
Coyoacán,19.35848152,-99.12952634
Coyoacán,19.35846629,-99.12938605
Coyoacán,19.35843498,-99.12909774
Coyoacán,19.35841715,-99.12893025
Coyoacán,19.35839126,-99.12869505
Coyoacán,19.35835957,-99.12839762
Coyoacán,19.35834588,-99.12827709
Coyoacán,19.35829052,-99.12776735
Coyoacán,19.35828412,-99.12770849
Coyoacán,19.35822572,-99.12717063
Coyoacán,19.35821683,-99.12708872
Coyoacán,19.35817828,-99.12673385
Coyoacán,19.35816185,-99.12658297
Coyoacán,19.35812957,-99.12628765
Coyoacán,19.35811091,-99.1261134
Coyoacán,19.35808403,-99.12586594
Coyoacán,19.35805665,-99.12561378
Coyoacán,19.35800243,-99.12511462
Coyoacán,19.35794915,-99.12462405
Coyoacán,19.35785809,-99.12378569
Coyoacán,19.3578402,-99.12362098
Coyoacán,19.35773991,-99.12269769
Coyoacán,19.35772423,-99.12255334
Coyoacán,19.35771597,-99.12247734
Coyoacán,19.35770607,-99.12238625
Coyoacán,19.35770483,-99.12237481
Coyoacán,19.35766423,-99.12200109
Coyoacán,19.35766405,-99.12199942
Coyoacán,19.35766383,-99.12199738
Coyoacán,19.35766265,-99.12198711
Coyoacán,19.35766181,-99.12197973
Coyoacán,19.35766178,-99.12197972
Coyoacán,19.35764211,-99.12197716
Coyoacán,19.35763392,-99.12197609
Coyoacán,19.35697649,-99.12189042
Coyoacán,19.35463637,-99.12158857
Coyoacán,19.35392006,-99.12145358
Coyoacán,19.35334015,-99.12126186
Coyoacán,19.35231506,-99.12093143
Coyoacán,19.35184148,-99.12077737
Coyoacán,19.351152,-99.12048908
Coyoacán,19.35114962,-99.12048809
Coyoacán,19.35084549,-99.12036091
Coyoacán,19.35084423,-99.12036038
Coyoacán,19.35056126,-99.12024206
Coyoacán,19.35042785,-99.12014642
Coyoacán,19.34999254,-99.11982414
Coyoacán,19.34961486,-99.11956006
Coyoacán,19.34959148,-99.11954678
Coyoacán,19.34945649,-99.11945725
Coyoacán,19.34862262,-99.11890422
Coyoacán,19.3476084,-99.1182316
Coyoacán,19.3474646,-99.11813624
Coyoacán,19.34735143,-99.11806118
Coyoacán,19.34683528,-99.11776404
Coyoacán,19.34618935,-99.11739218
Coyoacán,19.34594455,-99.11726057
Coyoacán,19.34558371,-99.11706686
Coyoacán,19.34555588,-99.11705171
Coyoacán,19.34439405,-99.11640454
Coyoacán,19.34411602,-99.11621891
Coyoacán,19.3439638,-99.11608208
